trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
113,False,"{'a': 0.5, 'e': 0.3212010745647914}",30,0,-18.034544522245575,"{0: 26, 1: 1, 2: 1, 3: 2, 4: 0}",0
114,False,"{'a': 0.5, 'e': 0.3179890638191435}",25,17,13.576775118698013,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.31480917318095203}",35,13,-29.527399668548593,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 1}",1
116,False,"{'a': 0.5, 'e': 0.3116610814491425}",20,12,15.450209126912098,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.30854447063465107}",30,21,12.342523911207634,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.30545902592830454}",20,0,27.89045505743147,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
119,False,"{'a': 0.5, 'e': 0.3024044356690215}",25,13,22.484519336378433,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.29938039131233124}",30,6,26.39780353206534,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.2963865873992079}",20,7,-49.00321934445312,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 1}",1
122,False,"{'a': 0.5, 'e': 0.29342272152521587}",20,9,-0.1180851155629512,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.2904884943099637}",20,7,9.756954507432761,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.28758360936686406}",20,3,-38.39538616709807,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
125,False,"{'a': 0.5, 'e': 0.2847077732731954}",30,16,27.411982449426237,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.28186069554046345}",20,0,-35.49552396853711,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
127,False,"{'a': 0.5, 'e': 0.2790420885850588}",35,5,-40.79093958940989,"{0: 27, 1: 1, 2: 0, 3: 0, 4: 2}",1
128,False,"{'a': 0.5, 'e': 0.2762516676992082}",25,8,-67.34312715124864,"{0: 13, 1: 0, 2: 1, 3: 2, 4: 1}",1
129,False,"{'a': 0.5, 'e': 0.27348915102221616}",20,10,-13.146578407676081,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.270754259511994}",30,0,35.60825773898152,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.26804671691687404}",30,19,20.785762234870987,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.2653662497477053}",25,0,3.652673492195328,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
133,False,"{'a': 0.5, 'e': 0.2627125872502282}",25,7,-17.02527849066003,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
134,False,"{'a': 0.5, 'e': 0.2600854613777259}",20,0,33.21492696063372,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
135,False,"{'a': 0.5, 'e': 0.2574846067639487}",20,10,-10.423904735269652,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.2549097606963092}",20,0,-25.323998886576415,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
137,False,"{'a': 0.5, 'e': 0.2523606630893461}",20,0,-29.68117851080519,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
138,False,"{'a': 0.5, 'e': 0.24983705645845267}",20,6,0.43758742884419854,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.24733868589386815}",20,16,8.611873407726574,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.24486529903492946}",25,1,33.88906897670336,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 0}",1
